,Energy Consumption (J)
683,5159412.0
684,5166955.0
685,5174498.0
686,5182041.0
687,5189584.0
688,5197127.0
689,5204670.0
690,5212213.0
691,5219756.0
692,5227299.0
693,5234842.0
694,5242385.0
695,5249928.0
696,5257471.0
697,5265014.0
698,5272557.0
699,5280100.0
700,5287643.0
701,5295186.0
702,5302729.0
703,5310272.0
704,5317815.0
705,5325358.0
706,5332901.0
707,5340444.0
708,5347987.0
709,5355530.0
710,5363073.0
711,5370616.0
712,5378159.0
713,5385702.0
714,5393245.0
715,5400788.0
716,5408331.0
717,5415874.0
718,5423417.0
719,5430960.0
720,5438503.0
721,5446046.0
722,5453589.0
723,5461132.0
724,5468675.0
725,5476218.0
726,5483761.0
727,5491304.0
728,5498847.0
729,5506390.0
730,5513933.0
731,5521476.0
732,5529019.0
733,5536562.0
734,5544105.0
735,5551648.0
736,5559191.0
737,5566734.0
738,5574277.0
739,5581820.0
740,5589363.0
741,5596906.0
742,5604449.0
743,5611992.0
744,5619535.0
745,5627078.0
746,5634621.0
747,5642164.0
748,5649707.0
749,5657250.0
750,5664793.0
751,5672336.0
752,5679879.0
753,5687422.0
754,5694965.0
755,5702508.0
756,5710051.0
757,5717594.0
758,5725137.0
759,5732680.0
760,5740223.0
761,5747766.0
762,5755309.0
763,5762852.0
764,5770395.0
765,5777938.0
766,5785481.0
767,5793024.0
768,5800567.0
769,5808110.0
770,5815653.0
771,5823196.0
772,5830739.0
773,5838282.0
774,5845825.0
775,5853368.0
776,5860911.0
777,5868454.0
778,5875997.0
779,5883540.0
780,5891083.0
781,5898626.0
782,5906169.0
783,5913712.0
784,5921255.0
785,5928798.0
786,5936341.0
787,5943884.0
788,5951427.0
789,5958970.0
790,5966513.0
791,5974056.0
792,5981599.0
793,5989142.0
794,5996685.0
795,6004228.0
796,6011771.0
797,6019314.0
798,6026857.0
799,6034400.0
800,6041943.0
801,6049486.0
802,6057029.0
803,6064572.0
804,6072115.0
805,6079658.0
806,6087201.0
807,6094744.0
808,6102287.0
809,6109830.0
810,6117373.0
811,6124916.0
812,6132459.0
813,6140002.0
814,6147545.0
815,6155088.0
816,6162631.0
817,6170174.0
818,6177717.0
819,6185260.0
820,6192803.0
821,6200346.0
822,6207889.0
823,6215432.0
824,6222975.0
825,6230518.0
826,6238061.0
827,6245604.0
828,6253147.0
829,6260690.0
830,6268233.0
831,6275776.0
832,6283319.0
833,6290862.0
834,6298405.0
835,6305948.0
836,6313491.0
837,6321034.0
838,6328577.0
839,6336120.0
840,6343663.0
841,6351206.0
842,6358749.0
843,6366292.0
844,6373835.0
845,6381378.0
846,6388921.0
847,6396464.0
848,6404007.0
849,6411550.0
850,6419093.0
851,6426636.0
852,6434179.0
853,6441722.0
854,6449265.0
855,6456808.0
856,6464351.0
857,6471894.0
858,6479437.0
859,6486980.0
860,6494523.0
861,6502066.0
862,6509609.0
863,6517152.0
864,6524695.0
865,6532238.0
866,6539781.0
867,6547324.0
868,6554867.0
869,6562410.0
870,6569953.0
871,6577496.0
872,6585039.0
873,6592582.0
874,6600125.0
875,6607668.0
876,6615211.0
877,6622754.0
878,6630297.0
879,6637840.0
880,6645383.0
881,6652926.0
882,6660469.0
883,6668012.0
884,6675555.0
885,6683098.0
886,6690641.0
887,6698184.0
888,6705727.0
889,6713270.0
890,6720813.0
891,6728356.0
892,6735899.0
893,6743442.0
894,6750985.0
895,6758528.0
896,6766071.0
897,6773614.0
898,6781157.0
899,6788700.0
900,6796243.0
901,6803786.0
902,6811329.0
903,6818872.0
904,6826415.0
905,6833958.0
906,6841501.0
907,6849044.0
908,6856587.0
909,6864130.0
910,6871673.0
911,6879216.0
912,6886759.0
913,6894302.0
914,6901845.0
915,6909388.0
916,6916931.0
917,6924474.0
918,6932017.0
919,6939560.0
920,6947103.0
921,6954646.0
922,6962189.0
923,6969732.0
924,6977275.0
925,6984818.0
926,6992361.0
927,6999904.0
928,7007447.0
929,7014990.0
930,7022533.0
931,7030076.0
932,7037619.0
933,7045162.0
934,7052705.0
935,7060248.0
936,7067791.0
937,7075334.0
938,7082877.0
939,7090420.0
940,7097963.0
941,7105506.0
942,7113049.0
943,7120592.0
944,7128135.0
945,7135678.0
946,7143221.0
947,7150764.0
948,7158307.0
949,7165850.0
950,7173393.0
951,7180936.0
952,7188479.0
953,7196022.0
954,7203565.0
955,7211108.0
956,7218651.0
957,7226194.0
958,7233737.0
959,7241280.0
960,7248823.0
961,7256366.0
962,7263909.0
963,7271452.0
964,7278995.0
965,7286538.0
966,7294081.0
967,7301624.0
968,7309167.0
969,7316710.0
970,7324253.0
971,7331796.0
972,7339339.0
973,7346882.0
974,7354425.0
975,7361968.0
976,7369511.0
977,7377054.0
978,7384597.0
979,7392140.0
980,7399683.0
981,7407226.0
982,7414769.0
983,7422312.0
984,7429855.0
985,7437398.0
986,7444941.0
987,7452484.0
988,7460027.0
989,7467570.0
990,7475113.0
991,7482656.0
992,7490199.0
993,7497742.0
994,7505285.0
995,7512828.0
996,7520371.0
997,7527914.0
998,7535457.0
999,7543000.0
1000,7550543.0
